"outcome","component","estimate","ci_lcl","ci_ucl","p","effect_str"
"All-cause mortality","Rcde",1.82259763869574,1.32887512824079,2.69629355412606,0,"1.823 (1.329 to 2.696), p=0"
"All-cause mortality","Rpnde",1.78451197411598,1.27340040891904,2.63528169256854,0,"1.785 (1.273 to 2.635), p=0"
"All-cause mortality","Rtnde",1.83787873825215,1.34006495760765,2.71932086317949,0,"1.838 (1.340 to 2.719), p=0"
"All-cause mortality","Rpnie",0.969864210515505,0.914293684210676,1.02937311219796,0.296,"0.970 (0.914 to 1.029), p=0.296"
"All-cause mortality","Rtnie",0.998868507106085,0.942131419490971,1.04946082683318,0.82,"0.999 (0.942 to 1.049), p=0.82"
"All-cause mortality","Rte",1.78249281149816,1.29186434414718,2.60912204398362,0,"1.782 (1.292 to 2.609), p=0"
"All-cause mortality","ERcde",0.80521400514838,0.323227651319471,1.64201207932397,0,"0.805 (0.323 to 1.642), p=0"
"All-cause mortality","ERintref",-0.0207020310324045,-0.140487901800193,0.131125714389961,0.688,"-0.021 (-0.140 to 0.131), p=0.688"
"All-cause mortality","ERintmed",0.0281166268666766,-0.113526726361109,0.145761932256998,0.712,"0.028 (-0.114 to 0.146), p=0.712"
"All-cause mortality","ERpnie",-0.0301357894844947,-0.0857062202781439,0.0293735516201265,0.296,"-0.030 (-0.086 to 0.029), p=0.296"
"All-cause mortality","ERcde(prop)",1.02903693595181,0.888091686170712,1.2502045911825,0,"1.029 (0.888 to 1.250), p=0"
"All-cause mortality","ERintref(prop)",-0.0264565127349458,-0.274776854293361,0.160194971486908,0.688,"-0.026 (-0.275 to 0.160), p=0.688"
"All-cause mortality","ERintmed(prop)",0.0359321216163566,-0.124116038241689,0.280053421448774,0.712,"0.036 (-0.124 to 0.280), p=0.712"
"All-cause mortality","ERpnie(prop)",-0.0385125448332194,-0.18693561663899,0.040331547089955,0.296,"-0.039 (-0.187 to 0.040), p=0.296"
"All-cause mortality","pm",-0.00258042321686278,-0.150529108384273,0.130894123469386,0.82,"-0.003 (-0.151 to 0.131), p=0.82"
"All-cause mortality","int",0.00947560888141082,-0.115285527270835,0.142742559103862,0.86,"0.009 (-0.115 to 0.143), p=0.86"
"All-cause mortality","pe",-0.0290369359518086,-0.250204591182501,0.111908313829288,0.528,"-0.029 (-0.250 to 0.112), p=0.528"
