"exposure","outcome","model","term","HR","lo","hi","p","p_trend"
"URXMEP_z","mort_allcause","Crude","q_Q2_vs_Q1",1.03437826771808,0.502952711048561,2.12731411368049,0.926796823750091,0.000123441956282631
"URXMEP_z","mort_allcause","Crude","q_Q3_vs_Q1",1.67915401350296,0.862342757567913,3.2696490766794,0.127415894278506,0.000123441956282631
"URXMEP_z","mort_allcause","Crude","q_Q4_vs_Q1",2.32845151428508,1.37568666635988,3.94107654522996,0.00164464491252018,0.000123441956282631
"URXMEP_z","mort_allcause","M1","q_Q2_vs_Q1",1.09806810532576,0.539668877398542,2.2342469881643,0.796310773373848,0.000808541862290292
"URXMEP_z","mort_allcause","M1","q_Q3_vs_Q1",1.94519666087989,0.974366877611234,3.88333197324466,0.0592484933402767,0.000808541862290292
"URXMEP_z","mort_allcause","M1","q_Q4_vs_Q1",2.19023536295493,1.33981645138631,3.58043890278753,0.00176865601748509,0.000808541862290292
"URXMEP_z","mort_allcause","M2","q_Q2_vs_Q1",1.05989616410203,0.512534253595006,2.19181424616718,0.875306412272824,0.0604729127806923
"URXMEP_z","mort_allcause","M2","q_Q3_vs_Q1",1.98503427088842,1.00959951094553,3.90289517168173,0.0468492772098368,0.0604729127806923
"URXMEP_z","mort_allcause","M2","q_Q4_vs_Q1",1.77769799569734,1.08744615718555,2.90608426267778,0.0217749377748291,0.0604729127806923
"URXMBP_z","mort_allcause","Crude","q_Q2_vs_Q1",1.5688843623178,0.816186264592961,3.01573090494587,0.176768636724407,0.390232080043804
"URXMBP_z","mort_allcause","Crude","q_Q3_vs_Q1",0.876832465084244,0.484682843800995,1.58626446481235,0.663881850094177,0.390232080043804
"URXMBP_z","mort_allcause","Crude","q_Q4_vs_Q1",1.48022040844419,0.803957480944864,2.72533375148102,0.207919835730191,0.390232080043804
"URXMBP_z","mort_allcause","M1","q_Q2_vs_Q1",1.71624531651086,0.894006384131621,3.29471694914856,0.10453611335731,0.0670477404858868
"URXMBP_z","mort_allcause","M1","q_Q3_vs_Q1",0.899297531931566,0.531402872809108,1.52188874452834,0.692525499144102,0.0670477404858868
"URXMBP_z","mort_allcause","M1","q_Q4_vs_Q1",1.92761816222235,1.11083693937849,3.3449659870047,0.0196089145988098,0.0670477404858868
"URXMBP_z","mort_allcause","M2","q_Q2_vs_Q1",2.0713594212465,1.14550248787586,3.74554389658523,0.0159773352124838,0.284261858913949
"URXMBP_z","mort_allcause","M2","q_Q3_vs_Q1",1.06683029622799,0.654324032546814,1.73939336527191,0.79534627098638,0.284261858913949
"URXMBP_z","mort_allcause","M2","q_Q4_vs_Q1",1.81547188134706,1.0400743540988,3.16894473839585,0.0358864530221978,0.284261858913949
"URXMIB_z","mort_allcause","Crude","q_Q2_vs_Q1",0.6741653554282,0.363377106923979,1.25076378725949,0.211162742059193,0.17643604613018
"URXMIB_z","mort_allcause","Crude","q_Q3_vs_Q1",0.438875228540212,0.240690572976937,0.800245160597459,0.00720897360054238,0.17643604613018
"URXMIB_z","mort_allcause","Crude","q_Q4_vs_Q1",0.629839151731198,0.362130872728075,1.09545301693003,0.10160733727748,0.17643604613018
"URXMIB_z","mort_allcause","M1","q_Q2_vs_Q1",0.808811648375676,0.458119277903502,1.42796060786155,0.464396557800773,0.994214421105008
"URXMIB_z","mort_allcause","M1","q_Q3_vs_Q1",0.762496429136994,0.412656785986175,1.40892098274168,0.386712802250415,0.994214421105008
"URXMIB_z","mort_allcause","M1","q_Q4_vs_Q1",0.954095981379184,0.561364302406354,1.62158359158536,0.862143911809227,0.994214421105008
"URXMIB_z","mort_allcause","M2","q_Q2_vs_Q1",0.995017586958709,0.572164286501987,1.73037713417944,0.985884318763819,0.823371437691021
"URXMIB_z","mort_allcause","M2","q_Q3_vs_Q1",0.950136687541051,0.52395706732237,1.72296506968585,0.866242171360485,0.823371437691021
"URXMIB_z","mort_allcause","M2","q_Q4_vs_Q1",0.939346625670297,0.53437938734749,1.65120905493384,0.827888757523512,0.823371437691021
"URXMZP_z","mort_allcause","Crude","q_Q2_vs_Q1",1.0807077981512,0.663334101022072,1.76069546731468,0.75528961808942,0.432081875463737
"URXMZP_z","mort_allcause","Crude","q_Q3_vs_Q1",1.23001124630927,0.667244585638991,2.2674259163878,0.507065762489986,0.432081875463737
"URXMZP_z","mort_allcause","Crude","q_Q4_vs_Q1",1.2809029987717,0.736244798362756,2.22848772026764,0.380905230559204,0.432081875463737
"URXMZP_z","mort_allcause","M1","q_Q2_vs_Q1",1.18343076281183,0.692878542300711,2.02128985798722,0.537479718833459,0.012327873220516
"URXMZP_z","mort_allcause","M1","q_Q3_vs_Q1",1.29892247806653,0.720021079860354,2.34326417825674,0.3849577029657,0.012327873220516
"URXMZP_z","mort_allcause","M1","q_Q4_vs_Q1",2.01514378028183,1.21159908335256,3.35160740132954,0.00694605966432412,0.012327873220516
"URXMZP_z","mort_allcause","M2","q_Q2_vs_Q1",1.2096725462979,0.70902546611945,2.06382949441242,0.484946007945137,0.0964490577999435
"URXMZP_z","mort_allcause","M2","q_Q3_vs_Q1",1.32525199757605,0.752568623802649,2.33373117285298,0.329374514506544,0.0964490577999435
"URXMZP_z","mort_allcause","M2","q_Q4_vs_Q1",1.70355292701123,1.03132097072242,2.813956719115,0.0374884335408142,0.0964490577999435
"URXMHP_z","mort_allcause","Crude","q_Q2_vs_Q1",3.59512632555194,2.15617519537676,5.99437992069943,9.31660616516863e-07,0.920865335609267
"URXMHP_z","mort_allcause","Crude","q_Q3_vs_Q1",1.16606168647242,0.615791442509853,2.20805253661374,0.637205053046972,0.920865335609267
"URXMHP_z","mort_allcause","Crude","q_Q4_vs_Q1",1.52558530226256,0.790145926678005,2.94554516564382,0.208288487274622,0.920865335609267
"URXMHP_z","mort_allcause","M1","q_Q2_vs_Q1",2.68279059227673,1.58380566208351,4.54434880131714,0.000242520952406819,0.0112702041903825
"URXMHP_z","mort_allcause","M1","q_Q3_vs_Q1",1.40809146086334,0.721609608671404,2.74763741825273,0.315675433490819,0.0112702041903825
"URXMHP_z","mort_allcause","M1","q_Q4_vs_Q1",3.05006413624625,1.60674832164747,5.78988700960765,0.000649485618970405,0.0112702041903825
"URXMHP_z","mort_allcause","M2","q_Q2_vs_Q1",2.67098919940815,1.48230855593664,4.81288681414042,0.00107527545582999,0.0117734045409188
"URXMHP_z","mort_allcause","M2","q_Q3_vs_Q1",1.71104126410898,0.865547842244134,3.38243834089289,0.122420311749805,0.0117734045409188
"URXMHP_z","mort_allcause","M2","q_Q4_vs_Q1",3.07903933496899,1.50613709581262,6.29456857057968,0.0020526163957032,0.0117734045409188
"URXMHH_z","mort_allcause","Crude","q_Q2_vs_Q1",1.98723409965043,1.10731626747749,3.56636986451004,0.0213570537382806,0.0403854981883526
"URXMHH_z","mort_allcause","Crude","q_Q3_vs_Q1",1.42698383930399,0.723800231460846,2.81332167236937,0.304586867389854,0.0403854981883526
"URXMHH_z","mort_allcause","Crude","q_Q4_vs_Q1",2.25875831040227,1.19491921800854,4.26973558372786,0.0121377285127093,0.0403854981883526
"URXMHH_z","mort_allcause","M1","q_Q2_vs_Q1",2.03178261812063,1.13461589127563,3.63835958850878,0.0170872658711895,0.00104333291036606
"URXMHH_z","mort_allcause","M1","q_Q3_vs_Q1",1.76994838998948,0.927414498377253,3.37790417198334,0.0833722803895897,0.00104333291036606
"URXMHH_z","mort_allcause","M1","q_Q4_vs_Q1",3.26624966208941,1.74514785922257,6.11317075439769,0.000214619060448418,0.00104333291036606
"URXMHH_z","mort_allcause","M2","q_Q2_vs_Q1",2.33971448087647,1.33232509054007,4.10880489370955,0.00308989004885099,5.27599317895492e-06
"URXMHH_z","mort_allcause","M2","q_Q3_vs_Q1",1.84921353123478,0.991012847104257,3.45060176978923,0.0534090951379629,5.27599317895492e-06
"URXMHH_z","mort_allcause","M2","q_Q4_vs_Q1",4.48606211185862,2.56285833860149,7.8524641679708,1.48262173299065e-07,5.27599317895492e-06
"URXMOH_z","mort_allcause","Crude","q_Q2_vs_Q1",1.48336631342485,0.838968668105748,2.62271489204921,0.175064333135352,0.00818463849439847
"URXMOH_z","mort_allcause","Crude","q_Q3_vs_Q1",1.20755304314616,0.678633646441374,2.14870624181101,0.521238111587534,0.00818463849439847
"URXMOH_z","mort_allcause","Crude","q_Q4_vs_Q1",2.25794071735948,1.30788674869206,3.89811754588718,0.00346223209478853,0.00818463849439847
"URXMOH_z","mort_allcause","M1","q_Q2_vs_Q1",1.66063362729872,0.907160687141865,3.03992895988894,0.10015146039668,0.000617667990890448
"URXMOH_z","mort_allcause","M1","q_Q3_vs_Q1",1.51723896481161,0.868783053114206,2.64969956318888,0.14278540133999,0.000617667990890448
"URXMOH_z","mort_allcause","M1","q_Q4_vs_Q1",2.97268958580865,1.72079679967659,5.13534391465399,9.3846827664705e-05,0.000617667990890448
"URXMOH_z","mort_allcause","M2","q_Q2_vs_Q1",1.98127060831254,1.0326825638621,3.80120025333103,0.0397149394648535,4.55893203207447e-05
"URXMOH_z","mort_allcause","M2","q_Q3_vs_Q1",1.8821854197413,1.02271589555908,3.46393555597388,0.0421396759974337,4.55893203207447e-05
"URXMOH_z","mort_allcause","M2","q_Q4_vs_Q1",3.61685754138268,2.11912206765102,6.17315003904299,2.43752453236348e-06,4.55893203207447e-05
"URXECP_z","mort_allcause","Crude","q_Q2_vs_Q1",1.74654294134997,1.05049628434947,2.90378204228336,0.0315640162366671,0.030985603965697
"URXECP_z","mort_allcause","Crude","q_Q3_vs_Q1",1.29431029132643,0.764738519268453,2.19060383127561,0.336599934584117,0.030985603965697
"URXECP_z","mort_allcause","Crude","q_Q4_vs_Q1",2.1870763715952,1.255004670851,3.81138267154539,0.00575394989445038,0.030985603965697
"URXECP_z","mort_allcause","M1","q_Q2_vs_Q1",1.61551604664395,0.934796083396077,2.79193734689436,0.0857233768908407,0.0167207575694522
"URXECP_z","mort_allcause","M1","q_Q3_vs_Q1",1.31936268678068,0.73176962985176,2.37877855032294,0.356759115320068,0.0167207575694522
"URXECP_z","mort_allcause","M1","q_Q4_vs_Q1",2.37304552418135,1.29086142387359,4.36247063835768,0.00540552629872409,0.0167207575694522
"URXECP_z","mort_allcause","M2","q_Q2_vs_Q1",1.77934210137059,0.939955379464116,3.36830703124962,0.0767631549901211,0.00657172971492213
"URXECP_z","mort_allcause","M2","q_Q3_vs_Q1",1.50981192680624,0.870393854932638,2.61896616274111,0.142642784563054,0.00657172971492213
"URXECP_z","mort_allcause","M2","q_Q4_vs_Q1",2.70420458641701,1.48568350542791,4.92212669689198,0.00113218515086952,0.00657172971492213
"sum_dehp_mol_z","mort_allcause","Crude","q_Q2_vs_Q1",1.64680713161597,0.975411255639608,2.78033876794143,0.0619301266642243,0.039671906533017
"sum_dehp_mol_z","mort_allcause","Crude","q_Q3_vs_Q1",1.22912112228822,0.764016965501921,1.9773628092965,0.39509782222572,0.039671906533017
"sum_dehp_mol_z","mort_allcause","Crude","q_Q4_vs_Q1",2.13631896572639,1.18868948728603,3.83940362233902,0.0111532063639425,0.039671906533017
"sum_dehp_mol_z","mort_allcause","M1","q_Q2_vs_Q1",1.83160319600024,1.06563250942493,3.14814932720914,0.0285243436387067,0.0130041161822183
"sum_dehp_mol_z","mort_allcause","M1","q_Q3_vs_Q1",1.38686862953748,0.771985292035781,2.4915041976033,0.273883015158797,0.0130041161822183
"sum_dehp_mol_z","mort_allcause","M1","q_Q4_vs_Q1",2.54724318604949,1.41549406114291,4.58387500660835,0.00181388777575695,0.0130041161822183
"sum_dehp_mol_z","mort_allcause","M2","q_Q2_vs_Q1",2.19088649961324,1.20865872629507,3.97133082297021,0.00975372642464705,0.000444257360063523
"sum_dehp_mol_z","mort_allcause","M2","q_Q3_vs_Q1",1.58361044376483,0.840751377007596,2.98283429106816,0.154729878421544,0.000444257360063523
"sum_dehp_mol_z","mort_allcause","M2","q_Q4_vs_Q1",3.31560716663102,1.95558787625331,5.62145583786133,8.59342163783049e-06,0.000444257360063523
"sum_hmw_z","mort_allcause","Crude","q_Q2_vs_Q1",1.63893040648369,0.986545806184545,2.72272494643228,0.0564351208925138,0.0545157095901147
"sum_hmw_z","mort_allcause","Crude","q_Q3_vs_Q1",1.20580957284777,0.72903551118745,1.99438395477208,0.466015725041487,0.0545157095901147
"sum_hmw_z","mort_allcause","Crude","q_Q4_vs_Q1",2.0459102344949,1.13847200157095,3.6766373541336,0.0166836517683193,0.0545157095901147
"sum_hmw_z","mort_allcause","M1","q_Q2_vs_Q1",1.94099807872647,1.12699273835329,3.34294393691011,0.0168036774103919,0.00678473089426326
"sum_hmw_z","mort_allcause","M1","q_Q3_vs_Q1",1.17500339479577,0.655235217014729,2.1070799339385,0.588361138849897,0.00678473089426326
"sum_hmw_z","mort_allcause","M1","q_Q4_vs_Q1",2.75522923169581,1.51545236038927,5.00925553162299,0.000890657659477274,0.00678473089426326
"sum_hmw_z","mort_allcause","M2","q_Q2_vs_Q1",2.29497036594474,1.25308520665945,4.20313714707824,0.00712993534551558,0.000176252688057943
"sum_hmw_z","mort_allcause","M2","q_Q3_vs_Q1",1.41734725716256,0.74232215720062,2.70620138156986,0.290521651538366,0.000176252688057943
"sum_hmw_z","mort_allcause","M2","q_Q4_vs_Q1",3.64606242498551,2.11355085320722,6.28978062520641,3.32057388442122e-06,0.000176252688057943
"sum_lmw_z","mort_allcause","Crude","q_Q2_vs_Q1",0.685203203262803,0.371201043241146,1.26482249527677,0.226749496563993,0.0046767107259891
"sum_lmw_z","mort_allcause","Crude","q_Q3_vs_Q1",1.33464683422186,0.748941364298504,2.37840004172671,0.327453381337448,0.0046767107259891
"sum_lmw_z","mort_allcause","Crude","q_Q4_vs_Q1",1.59139375148286,0.957516919662082,2.64489746369437,0.0730561641009682,0.0046767107259891
"sum_lmw_z","mort_allcause","M1","q_Q2_vs_Q1",0.723257225463512,0.383717446652241,1.36324532217389,0.316432580944371,0.00219541731222614
"sum_lmw_z","mort_allcause","M1","q_Q3_vs_Q1",1.72062143442264,1.00471283172763,2.94665105003575,0.0480310873283309,0.00219541731222614
"sum_lmw_z","mort_allcause","M1","q_Q4_vs_Q1",1.74231394796533,1.0946545779046,2.77316511943468,0.0192143515431552,0.00219541731222614
"sum_lmw_z","mort_allcause","M2","q_Q2_vs_Q1",0.839788816149617,0.439269205884338,1.60549668923451,0.597440312343301,0.116066012871124
"sum_lmw_z","mort_allcause","M2","q_Q3_vs_Q1",1.77249357634434,1.01077900185087,3.10822986273854,0.045784285760976,0.116066012871124
"sum_lmw_z","mort_allcause","M2","q_Q4_vs_Q1",1.48549045830351,0.884149645237931,2.49582399721141,0.134949960851498,0.116066012871124
