"exposure","outcome","model","HR_per_SD","lo","hi","p_per_SD","n_event"
"URXMEP_z","mort_cm","Crude",1.3051347341621,0.953845154722714,1.78579999686799,0.0959936115671775,54
"URXMEP_z","mort_cm","M1",1.18062684817494,0.867826236351262,1.60617378945812,0.290379913911798,54
"URXMEP_z","mort_cm","M2",1.10939067393756,0.780468263314499,1.57693493159207,0.562881793494302,52
"URXMBP_z","mort_cm","Crude",1.08676282827004,0.832308285931496,1.41900959641138,0.540981492943476,54
"URXMBP_z","mort_cm","M1",1.14641573092503,0.817255454170509,1.60814959558307,0.428769873280072,54
"URXMBP_z","mort_cm","M2",1.1126166770399,0.760670704317036,1.62740048092,0.582303767149017,52
"URXMIB_z","mort_cm","Crude",0.65543895361839,0.475964159671123,0.902589434921343,0.00966017798750986,54
"URXMIB_z","mort_cm","M1",0.783371785369886,0.553898042080847,1.10791392547301,0.16743028425054,54
"URXMIB_z","mort_cm","M2",0.758733412909727,0.522655776634051,1.10144461728338,0.146534977678879,52
"URXMZP_z","mort_cm","Crude",0.967330917937625,0.714241406161218,1.31010201414567,0.830060977527397,54
"URXMZP_z","mort_cm","M1",1.12677781826797,0.768300511835165,1.65251517105994,0.54124933836954,54
"URXMZP_z","mort_cm","M2",1.04660804451542,0.711583290655919,1.539367791836,0.816989856255435,52
"URXMHP_z","mort_cm","Crude",0.78956138046576,0.576681644967654,1.08102482359736,0.140495433486319,54
"URXMHP_z","mort_cm","M1",1.00727525450391,0.695153746559578,1.45953818613125,0.969441499836759,54
"URXMHP_z","mort_cm","M2",1.03261602147478,0.689901165878183,1.54557768640542,0.876051234951216,52
"URXMHH_z","mort_cm","Crude",1.09810352361307,0.801104585795896,1.50521089249971,0.560802251186637,54
"URXMHH_z","mort_cm","M1",1.14528085550072,0.803174847041373,1.63310422731515,0.453688743545821,54
"URXMHH_z","mort_cm","M2",1.17787474995425,0.814765129968251,1.70280842361756,0.38398061943209,52
"URXMOH_z","mort_cm","Crude",1.17646858624489,0.877536295055878,1.57723200991125,0.277233880574513,54
"URXMOH_z","mort_cm","M1",1.18579554829322,0.853422243747696,1.64761475653277,0.30987887061842,54
"URXMOH_z","mort_cm","M2",1.24272674396975,0.874888361711261,1.76521922997913,0.224919794627701,52
"URXECP_z","mort_cm","Crude",1.27431357693455,0.982304838164504,1.65312745012439,0.0679236611780015,54
"URXECP_z","mort_cm","M1",1.28707030593028,0.944385937220944,1.75410275303571,0.110107556741063,54
"URXECP_z","mort_cm","M2",1.32883967993683,0.94951756764432,1.85969691888426,0.0973392388389061,52
"sum_dehp_mol_z","mort_cm","Crude",1.18640751708069,0.89939143511994,1.56501690100914,0.22643611336772,54
"sum_dehp_mol_z","mort_cm","M1",1.21534038887771,0.879424857559598,1.67956619390568,0.237389751734906,54
"sum_dehp_mol_z","mort_cm","M2",1.26164146191029,0.89366209500382,1.7811420975669,0.186513793193514,52
"sum_hmw_z","mort_cm","Crude",1.14243337711319,0.86985847189808,1.50042111827035,0.338334509681283,54
"sum_hmw_z","mort_cm","M1",1.17979572438769,0.855810133363957,1.62643312695098,0.31278714562377,54
"sum_hmw_z","mort_cm","M2",1.22932008381429,0.875752669837442,1.72563318448083,0.232787213379513,52
"sum_lmw_z","mort_cm","Crude",1.18062940631577,0.850338392848613,1.63921305539086,0.32133987146217,54
"sum_lmw_z","mort_cm","M1",1.12714909502942,0.809190585174769,1.57004432046282,0.479036816277056,54
"sum_lmw_z","mort_cm","M2",1.04880166231577,0.72808972257148,1.51078210936886,0.798047845037659,52
