"exposure","outcome","model","term","chisq","df","p"
"sum_dehp_mol_z","mort_allcause","M1","sum_dehp_mol_z",0.00244978149431108,1,0.960524608652455
"sum_dehp_mol_z","mort_allcause","M1","age",0.000314798865009784,1,0.985844218353941
"sum_dehp_mol_z","mort_allcause","M1","sex_male",0.000706355637081286,1,0.978796837397579
"sum_dehp_mol_z","mort_allcause","M1","race",0.00107212235160803,4,0.999999856370545
"sum_dehp_mol_z","mort_allcause","M1","GLOBAL",0.00479209700498677,7,0.99999999994222
"sum_dehp_mol_z","mort_allcause","M2","sum_dehp_mol_z",3.4308047998907e-05,1,0.995326571715182
"sum_dehp_mol_z","mort_allcause","M2","age",9.32062867717343e-05,1,0.992297070584389
"sum_dehp_mol_z","mort_allcause","M2","sex_male",0.00236882903812714,1,0.96118179170487
"sum_dehp_mol_z","mort_allcause","M2","race",0.00106844590100355,4,0.999999857353731
"sum_dehp_mol_z","mort_allcause","M2","education",0.00389566496767179,2,0.99805406331076
"sum_dehp_mol_z","mort_allcause","M2","pir",0.000806387265484575,1,0.977345549801297
"sum_dehp_mol_z","mort_allcause","M2","bmi",1.53655495529878e-06,1,0.999010959674809
"sum_dehp_mol_z","mort_allcause","M2","smoke",1.74388041135115e-05,1,0.996668060178992
"sum_dehp_mol_z","mort_allcause","M2","hypertension",0.000684754955718977,1,0.979123480689467
"sum_dehp_mol_z","mort_allcause","M2","drink",0.00044973558020224,1,0.983080554209766
"sum_dehp_mol_z","mort_allcause","M2","GLOBAL",0.0121504576436267,14,1
"URXMIB_z","mort_allcause","M1","URXMIB_z",1.53578860496446e-05,1,0.996873167118454
"URXMIB_z","mort_allcause","M1","age",0.000442511540583123,1,0.983216971459773
"URXMIB_z","mort_allcause","M1","sex_male",0.000596018136001824,1,0.980522793917324
"URXMIB_z","mort_allcause","M1","race",0.000954078427586439,4,0.999999886252974
"URXMIB_z","mort_allcause","M1","GLOBAL",0.00212256367018241,7,0.999999999996655
"URXMIB_z","mort_allcause","M2","URXMIB_z",0.000168466930835428,1,0.989644163156039
"URXMIB_z","mort_allcause","M2","age",0.000295633692335207,1,0.986281847482453
"URXMIB_z","mort_allcause","M2","sex_male",0.00181959298343419,1,0.965975206534565
"URXMIB_z","mort_allcause","M2","race",0.000866319887007226,4,0.999999906213318
"URXMIB_z","mort_allcause","M2","education",0.00299033322456407,2,0.998505950592446
"URXMIB_z","mort_allcause","M2","pir",0.000699215306384062,1,0.978904252611619
"URXMIB_z","mort_allcause","M2","bmi",1.65834114787947e-05,1,0.996750804825484
"URXMIB_z","mort_allcause","M2","smoke",5.00866601131946e-05,1,0.994353264145625
"URXMIB_z","mort_allcause","M2","hypertension",0.000412957449301762,1,0.98378702086442
"URXMIB_z","mort_allcause","M2","drink",0.000407187499980269,1,0.983900669806295
"URXMIB_z","mort_allcause","M2","GLOBAL",0.0101753301690089,14,1
"URXMHP_z","mort_allcause","M1","URXMHP_z",0.000195188160818598,1,0.988853136847437
"URXMHP_z","mort_allcause","M1","age",0.000304888964998976,1,0.986068789760017
"URXMHP_z","mort_allcause","M1","sex_male",0.000590969835399051,1,0.980605439418693
"URXMHP_z","mort_allcause","M1","race",0.00104098488080395,4,0.999999864590803
"URXMHP_z","mort_allcause","M1","GLOBAL",0.00239339515487875,7,0.999999999994908
"URXMHP_z","mort_allcause","M2","URXMHP_z",7.69946472982643e-05,1,0.992998924592522
"URXMHP_z","mort_allcause","M2","age",0.000135179999419404,1,0.990723449844035
"URXMHP_z","mort_allcause","M2","sex_male",0.00200145205288598,1,0.964316470356787
"URXMHP_z","mort_allcause","M2","race",0.00105979316091461,4,0.999999859654394
"URXMHP_z","mort_allcause","M2","education",0.00337801300656841,2,0.998312419065489
"URXMHP_z","mort_allcause","M2","pir",0.000732192662631127,1,0.978412629145719
"URXMHP_z","mort_allcause","M2","bmi",1.14496291377167e-05,1,0.997300179176981
"URXMHP_z","mort_allcause","M2","smoke",1.55614245087623e-05,1,0.996852515426382
"URXMHP_z","mort_allcause","M2","hypertension",0.000528422552877712,1,0.981660289039841
"URXMHP_z","mort_allcause","M2","drink",0.000654303181761482,1,0.979592856442562
"URXMHP_z","mort_allcause","M2","GLOBAL",0.0116377486600803,14,1
"sum_dehp_mol_z","mort_cm","M1","sum_dehp_mol_z",4.85240369260927e-05,1,0.994442045188196
"sum_dehp_mol_z","mort_cm","M1","age",0.00242604692896298,1,0.960716146252434
"sum_dehp_mol_z","mort_cm","M1","sex_male",0.000467972149407507,1,0.982740977562458
"sum_dehp_mol_z","mort_cm","M1","race",0.000641094206303846,4,0.999999948635755
"sum_dehp_mol_z","mort_cm","M1","GLOBAL",0.00368367591263294,7,0.999999999976979
"sum_dehp_mol_z","mort_cm","M2","sum_dehp_mol_z",2.60359883997392e-05,1,0.995928773997894
"sum_dehp_mol_z","mort_cm","M2","age",0.00194241138707684,1,0.964846376994255
"sum_dehp_mol_z","mort_cm","M2","sex_male",0.000468708301964842,1,0.982727410197883
"sum_dehp_mol_z","mort_cm","M2","race",0.000733567545303456,4,0.999999932751278
"sum_dehp_mol_z","mort_cm","M2","education",5.47780109839343e-05,2,0.999972611369583
"sum_dehp_mol_z","mort_cm","M2","pir",1.62140382544408e-07,1,0.999678718553526
"sum_dehp_mol_z","mort_cm","M2","bmi",2.30474629781029e-05,1,0.996169548601757
"sum_dehp_mol_z","mort_cm","M2","smoke",0.00241289948137362,1,0.960822650302981
"sum_dehp_mol_z","mort_cm","M2","hypertension",0.00215144470287677,1,0.963004453156917
"sum_dehp_mol_z","mort_cm","M2","drink",0.0005631327714604,1,0.981067642223388
"sum_dehp_mol_z","mort_cm","M2","GLOBAL",0.00775522105721552,14,1
"URXMIB_z","mort_cm","M1","URXMIB_z",0.0011966415726589,1,0.972404676103239
"URXMIB_z","mort_cm","M1","age",0.00247185597941597,1,0.960347300963355
"URXMIB_z","mort_cm","M1","sex_male",0.000425925333595437,1,0.983534460353819
"URXMIB_z","mort_cm","M1","race",0.00058374635067096,4,0.999999957413312
"URXMIB_z","mort_cm","M1","GLOBAL",0.00456237399865554,7,0.999999999951342
"URXMIB_z","mort_cm","M2","URXMIB_z",0.000828687928453976,1,0.977034516742332
"URXMIB_z","mort_cm","M2","age",0.00213634624295269,1,0.963134403085715
"URXMIB_z","mort_cm","M2","sex_male",0.000384541487263307,1,0.984354702385162
"URXMIB_z","mort_cm","M2","race",0.000707828357249956,4,0.999999937387152
"URXMIB_z","mort_cm","M2","education",7.62713633365151e-05,2,0.999961865045488
"URXMIB_z","mort_cm","M2","pir",3.12993191492741e-06,1,0.998588414202277
"URXMIB_z","mort_cm","M2","bmi",3.84181533696e-05,1,0.995054553321643
"URXMIB_z","mort_cm","M2","smoke",0.00245467604278372,1,0.960485225564299
"URXMIB_z","mort_cm","M2","hypertension",0.00190787813227802,1,0.965160068107863
"URXMIB_z","mort_cm","M2","drink",0.000548870353055686,1,0.981308884508033
"URXMIB_z","mort_cm","M2","GLOBAL",0.00828189889018766,14,1
"URXMHP_z","mort_cm","M1","URXMHP_z",0.00053157352437261,1,0.981605700333643
"URXMHP_z","mort_cm","M1","age",0.0025576957675177,1,0.959665246862074
"URXMHP_z","mort_cm","M1","sex_male",0.000419576535940279,1,0.983657620593639
"URXMHP_z","mort_cm","M1","race",0.000601807328901741,4,0.999999954737573
"URXMHP_z","mort_cm","M1","GLOBAL",0.00399611958161095,7,0.999999999969394
"URXMHP_z","mort_cm","M2","URXMHP_z",0.000549514731240676,1,0.981297917975216
"URXMHP_z","mort_cm","M2","age",0.00210053085685819,1,0.963444512991735
"URXMHP_z","mort_cm","M2","sex_male",0.000382305767281936,1,0.984400243665967
"URXMHP_z","mort_cm","M2","race",0.000715605572196737,4,0.99999993600385
"URXMHP_z","mort_cm","M2","education",6.88444229445315e-05,2,0.999965578380965
"URXMHP_z","mort_cm","M2","pir",1.08146331198596e-07,1,0.999737610803827
"URXMHP_z","mort_cm","M2","bmi",2.0611078209786e-05,1,0.996377662388771
"URXMHP_z","mort_cm","M2","smoke",0.0024411695536266,1,0.960593998922213
"URXMHP_z","mort_cm","M2","hypertension",0.00208802039257324,1,0.963553459243463
"URXMHP_z","mort_cm","M2","drink",0.000517567519264345,1,0.981849603913925
"URXMHP_z","mort_cm","M2","GLOBAL",0.00793180289539605,14,1
