"exposure","outcome","measure","est_point","CI_low","CI_high","p_value","RR_approx_point","RR_approx_CIlower","Evalue_point","Evalue_CIbound","crosses_null"
"MEP","IR_binary","OR",0.9681,0.7934,1.1812,0.742,0.9839,0.8907,1.1453,NA,"Yes"
"MnBP","IR_binary","OR",1.0713,0.9089,1.2627,0.4002,1.035,0.9534,1.2255,1,"Yes"
"MiBP","IR_binary","OR",1.2965,1.115,1.5076,0.001346,1.1387,1.0559,1.536,1.299,"No"
"MBzP","IR_binary","OR",1.2645,1.0762,1.4858,0.005644,1.1245,1.0374,1.4987,1.2344,"No"
"MEHP","IR_binary","OR",0.9492,0.7987,1.1281,0.5434,0.9743,0.8937,1.191,NA,"Yes"
"MEHHP","IR_binary","OR",1.0442,0.8969,1.2157,0.5669,1.0219,0.947,1.1713,1,"Yes"
"MEOHP","IR_binary","OR",1.0294,0.8866,1.1952,0.696,1.0146,0.9416,1.1362,1,"Yes"
"MECPP","IR_binary","OR",1.0019,0.8667,1.1581,0.9793,1.0009,0.931,1.0315,1,"Yes"
"Sum-DEHP","IR_binary","OR",1.0254,0.8845,1.1888,0.7319,1.0126,0.9405,1.1257,1,"Yes"
"MEP","All_cause_mortality","HR",1.5699,1.0508,2.3456,0.04708,1.5699,1.0508,2.5158,1.2818,"No"
"MnBP","All_cause_mortality","HR",1.3191,0.865,2.0116,0.1974,1.3191,0.865,1.9679,1,"Yes"
"MiBP","All_cause_mortality","HR",0.9021,0.621,1.3105,0.5199,0.9021,0.621,1.4554,NA,"Yes"
"MBzP","All_cause_mortality","HR",1.1002,0.7304,1.657,0.5744,1.1002,0.7304,1.4321,1,"Yes"
"MEHP","All_cause_mortality","HR",1.7421,1.2053,2.5179,0.0137,1.7421,1.2053,2.8791,1.7028,"No"
"MEHHP","All_cause_mortality","HR",2.0846,1.4662,2.9639,0.001155,2.0846,1.4662,3.5882,2.2929,"No"
"MEOHP","All_cause_mortality","HR",1.9625,1.4034,2.7443,0.001636,1.9625,1.4034,3.3368,2.1558,"No"
"MECPP","All_cause_mortality","HR",1.9822,1.4221,2.763,0.0008374,1.9822,1.4221,3.3776,2.1968,"No"
"Sum-DEHP","All_cause_mortality","HR",2.0389,1.4638,2.84,0.0003725,2.0389,1.4638,3.4943,2.2877,"No"
