"Type","Diff.Un","Diff.Adj","M.Threshold","variable"
"Distance",1.30254893959899,0.824429851417097,"","prop.score"
"Contin.",-0.186106050766068,-0.0359829978561006,"Balanced, <0.1","age"
"Binary",0.0651854845571344,0.035040530341108,"Balanced, <0.1","sex_male"
"Binary",0.00865523696077597,0.00519543884666046,"Balanced, <0.1","race_Non-Hispanic White"
"Binary",0.0123925806177146,0.00135670360223114,"Balanced, <0.1","race_Non-Hispanic Black"
"Binary",0.012992427465328,0.0149700268018956,"Balanced, <0.1","race_Mexican American"
"Binary",0.00589211265208882,-0.00118100028956589,"Balanced, <0.1","race_Other Hispanic"
"Binary",-0.0399323576959074,-0.0203411689612213,"Balanced, <0.1","race_Other Race"
"Binary",0.00996979494597128,0.0137887262690964,"Balanced, <0.1","education_Less than HS"
"Binary",0.0111662979664766,0.00986003362569104,"Balanced, <0.1","education_High school"
"Binary",-0.0211360929124479,-0.0236487598947876,"Balanced, <0.1","education_College or above"
"Contin.",0.123977833609916,0.0501212124229201,"Balanced, <0.1","pir"
"Contin.",0.0681589434068988,0.00584781106949392,"Balanced, <0.1","bmi"
"Contin.",0.0605783291799337,0.0057815311548843,"Balanced, <0.1","waist"
"Binary",-0.0264613290223773,-0.0124883092311768,"Balanced, <0.1","smoke_ever"
"Binary",-0.0144824725601974,0.0123030889425739,"Balanced, <0.1","hypertension"
"Contin.",0.145626935985255,0.0161356539289495,"Balanced, <0.1","kcal_day"
"Contin.",-0.0290667938639903,-0.0130587028718158,"Balanced, <0.1","fish_freq_30d"
