"exposure","outcome","model","beta_per_SD","lo","hi","p_per_SD","n_obs"
"URXMEP_z","homa_ir_log","Crude",0.0284585609482696,-0.018616578315111,0.0755337002116502,0.239080728049174,2239
"URXMEP_z","homa_ir_log","M1",0.0137361678606236,-0.0356998309745765,0.0631721666958238,0.587421279220906,2239
"URXMEP_z","homa_ir_log","M2",-0.00795848051133581,-0.0424109988964071,0.0264940378737355,0.651964642136506,2078
"URXMBP_z","homa_ir_log","Crude",0.0395998023895049,-0.0010165328538812,0.080216137632891,0.0590915573646654,2239
"URXMBP_z","homa_ir_log","M1",0.0412596253751618,0.000359439051213599,0.08215981169911,0.0511824243082013,2239
"URXMBP_z","homa_ir_log","M2",0.018667534761148,-0.0127856577017428,0.0501207272240388,0.248223997818853,2078
"URXMIB_z","homa_ir_log","Crude",0.106790267264122,0.0709040157982777,0.142676518729966,7.86095886539056e-08,2239
"URXMIB_z","homa_ir_log","M1",0.104933364948778,0.0664014013842422,0.143465328513314,7.40274650674534e-07,2239
"URXMIB_z","homa_ir_log","M2",0.0666476551819398,0.0373567887518135,0.0959385216120661,2.68349150069751e-05,2078
"URXMZP_z","homa_ir_log","Crude",0.0952962983193476,0.0560906975191065,0.134501899119589,6.96812143292902e-06,2239
"URXMZP_z","homa_ir_log","M1",0.0993873779271128,0.0596259886116736,0.139148767242552,4.40992243948577e-06,2239
"URXMZP_z","homa_ir_log","M2",0.030362485516106,-0.00410485733441735,0.0648298283666294,0.0881525969793388,2078
"URXMHP_z","homa_ir_log","Crude",0.033828556031169,-0.00545269699310727,0.0731098090554453,0.0947758361704675,2239
"URXMHP_z","homa_ir_log","M1",0.0248461638155153,-0.0163263940495228,0.0660187216805533,0.24011475459695,2239
"URXMHP_z","homa_ir_log","M2",0.0274116825885037,-0.00271041815987784,0.0575337833368851,0.078323030828647,2078
"URXMHH_z","homa_ir_log","Crude",0.0899062089104406,0.0506827791931657,0.129129638627716,2.0203338821834e-05,2239
"URXMHH_z","homa_ir_log","M1",0.0834089706825043,0.0433756736541428,0.123442267710866,9.82264846163715e-05,2239
"URXMHH_z","homa_ir_log","M2",0.0531308945344583,0.0226308452043099,0.0836309438646068,0.00101182051804765,2078
"URXMOH_z","homa_ir_log","Crude",0.0850177596204971,0.0453320295683791,0.124703489672615,6.13963556822085e-05,2239
"URXMOH_z","homa_ir_log","M1",0.0794115454725672,0.0391403640151076,0.119682726930027,0.000213574172015471,2239
"URXMOH_z","homa_ir_log","M2",0.0492302022394975,0.0184401155160359,0.080020288962959,0.00242150936097362,2078
"URXECP_z","homa_ir_log","Crude",0.085546113646176,0.0467299421305109,0.124362285161841,3.90865999007754e-05,2239
"URXECP_z","homa_ir_log","M1",0.0793243772201165,0.0406198935951542,0.118028860845079,0.000124794749271215,2239
"URXECP_z","homa_ir_log","M2",0.0535272517992672,0.0232302668107956,0.0838242367877388,0.000865937654882811,2078
"sum_dehp_mol_z","homa_ir_log","Crude",0.0867641949751223,0.0478321304872173,0.125696259463027,3.25387301022015e-05,2239
"sum_dehp_mol_z","homa_ir_log","M1",0.0804776283457736,0.0412085912804298,0.119746665411117,0.000124879263438123,2239
"sum_dehp_mol_z","homa_ir_log","M2",0.0512473657045363,0.0208564464811889,0.0816382849278837,0.0014292397184868,2078
"sum_hmw_z","homa_ir_log","Crude",0.0850222133961973,0.0464382523693408,0.123606174423054,3.91775719227359e-05,2239
"sum_hmw_z","homa_ir_log","M1",0.0790992590845636,0.0399877932478694,0.118210724921258,0.000150757900848848,2239
"sum_hmw_z","homa_ir_log","M2",0.0501905347874293,0.0201232153873513,0.0802578541875074,0.00158584235177407,2078
"sum_lmw_z","homa_ir_log","Crude",0.0459645659401156,0.00176818552112134,0.0901609463591098,0.0443478061533147,2239
"sum_lmw_z","homa_ir_log","M1",0.0343730772169802,-0.0121701426541417,0.0809162970881021,0.151351362341474,2239
"sum_lmw_z","homa_ir_log","M2",0.00202536144730161,-0.0312357967819873,0.0352865196765905,0.905301312623237,2078
