"exposure","outcome","model","term","beta","lo","hi","p","p_trend"
"URXMEP_z","homa_ir_log","Crude","q_Q2_vs_Q1",0.0226876265371197,-0.0932135844837477,0.138588837557987,0.702118430317613,0.675854368697799
"URXMEP_z","homa_ir_log","Crude","q_Q3_vs_Q1",0.0401952871085612,-0.0783155319687522,0.158706106185875,0.507877035571413,0.675854368697799
"URXMEP_z","homa_ir_log","Crude","q_Q4_vs_Q1",0.0361893075266716,-0.0953441311245167,0.16772274617786,0.591022762196252,0.675854368697799
"URXMEP_z","homa_ir_log","M1","q_Q2_vs_Q1",0.00998418065723162,-0.103729408315948,0.123697769630411,0.863775690123122,0.9826725103175
"URXMEP_z","homa_ir_log","M1","q_Q3_vs_Q1",0.0317735703707386,-0.0860210301420547,0.149568170883532,0.59840202360762,0.9826725103175
"URXMEP_z","homa_ir_log","M1","q_Q4_vs_Q1",0.0062682758690727,-0.130239230901341,0.142775782639486,0.928498109531764,0.9826725103175
"URXMEP_z","homa_ir_log","M2","q_Q2_vs_Q1",-0.0694401970850575,-0.159112182373742,0.0202317882036266,0.133163860922593,0.461248538442521
"URXMEP_z","homa_ir_log","M2","q_Q3_vs_Q1",-0.0463800762547091,-0.133900328145457,0.0411401756360384,0.302207371055567,0.461248538442521
"URXMEP_z","homa_ir_log","M2","q_Q4_vs_Q1",-0.0594695310700894,-0.152030450725504,0.0330913885853248,0.211732603478998,0.461248538442521
"URXMBP_z","homa_ir_log","Crude","q_Q2_vs_Q1",0.12231293984933,-0.000240090361063247,0.244865970059723,0.0535129318853459,0.10382556195195
"URXMBP_z","homa_ir_log","Crude","q_Q3_vs_Q1",0.0910067097606548,-0.0168972507609652,0.198910670282275,0.10176204952435,0.10382556195195
"URXMBP_z","homa_ir_log","Crude","q_Q4_vs_Q1",0.131893572043098,0.0188364067160573,0.244950737370138,0.0245418252147226,0.10382556195195
"URXMBP_z","homa_ir_log","M1","q_Q2_vs_Q1",0.118300231380464,-0.000195585825045391,0.236796048585974,0.0536578927691952,0.0753556546238091
"URXMBP_z","homa_ir_log","M1","q_Q3_vs_Q1",0.0821764718982617,-0.0288076913425877,0.193160635139111,0.150390737167416,0.0753556546238091
"URXMBP_z","homa_ir_log","M1","q_Q4_vs_Q1",0.141136558342085,0.0268894387024089,0.255383677981762,0.0175919979783732,0.0753556546238091
"URXMBP_z","homa_ir_log","M2","q_Q2_vs_Q1",0.0667842930470371,-0.0268037677006809,0.160372353794755,0.165932025843164,0.0538254526267112
"URXMBP_z","homa_ir_log","M2","q_Q3_vs_Q1",0.00820365830063616,-0.0774935267297305,0.0939008433310028,0.85166202125728,0.0538254526267112
"URXMBP_z","homa_ir_log","M2","q_Q4_vs_Q1",0.102286872972756,0.0161247911189541,0.188448954826558,0.0226065653719873,0.0538254526267112
"URXMIB_z","homa_ir_log","Crude","q_Q2_vs_Q1",0.115154276362957,0.0200893782091571,0.210219174516757,0.0196887258527903,1.98423721156955e-06
"URXMIB_z","homa_ir_log","Crude","q_Q3_vs_Q1",0.192029591501396,0.0843161248030787,0.299743058199714,0.000736352614157582,1.98423721156955e-06
"URXMIB_z","homa_ir_log","Crude","q_Q4_vs_Q1",0.268409766162107,0.169785538937956,0.367033993386258,6.96108751309437e-07,1.98423721156955e-06
"URXMIB_z","homa_ir_log","M1","q_Q2_vs_Q1",0.102402485465232,0.00548644461790931,0.199318526312556,0.0413961027927055,6.76642045378438e-06
"URXMIB_z","homa_ir_log","M1","q_Q3_vs_Q1",0.172121885729947,0.0678029093432071,0.276440862116686,0.00173953645177756,6.76642045378438e-06
"URXMIB_z","homa_ir_log","M1","q_Q4_vs_Q1",0.268858624334054,0.163093485137077,0.374623763531032,3.26442236191124e-06,6.76642045378438e-06
"URXMIB_z","homa_ir_log","M2","q_Q2_vs_Q1",0.043842762642891,-0.0433363162153009,0.131021841501083,0.32737096751393,0.000257512067627797
"URXMIB_z","homa_ir_log","M2","q_Q3_vs_Q1",0.0859314097993756,0.00244535534266968,0.169417464256082,0.0471376792311446,0.000257512067627797
"URXMIB_z","homa_ir_log","M2","q_Q4_vs_Q1",0.164820309076013,0.0785561743645625,0.251084443787463,0.000346382073199227,0.000257512067627797
"URXMZP_z","homa_ir_log","Crude","q_Q2_vs_Q1",0.237465059843206,0.1267932049226,0.348136914763812,6.08847009249176e-05,5.08816292248731e-05
"URXMZP_z","homa_ir_log","Crude","q_Q3_vs_Q1",0.127067180555049,0.0229314010607768,0.231202960049321,0.0188328266251771,5.08816292248731e-05
"URXMZP_z","homa_ir_log","Crude","q_Q4_vs_Q1",0.297315879226501,0.192422299508146,0.402209458944857,2.72691831761036e-07,5.08816292248731e-05
"URXMZP_z","homa_ir_log","M1","q_Q2_vs_Q1",0.240867523547294,0.133821683392088,0.3479133637025,3.00563990899379e-05,2.47968871681773e-05
