"exposure","outcome","model","OR_per_SD","lo","hi","p_per_SD","n_obs"
"URXMEP_z","ir_binary","Crude",1.06527293570121,0.953320758747122,1.190372093679,0.267228753376012,2239
"URXMEP_z","ir_binary","M1",1.0298419416976,0.914102394820627,1.16023591108477,0.62999964410773,2239
"URXMEP_z","ir_binary","M2",0.946818975369126,0.812834135397578,1.10288942488932,0.484754210659599,2078
"URXMBP_z","ir_binary","Crude",1.09339149797854,0.978910415833155,1.22126085136632,0.116984942687851,2239
"URXMBP_z","ir_binary","M1",1.10786901602543,0.989730782878625,1.24010870218601,0.0784721856049418,2239
"URXMBP_z","ir_binary","M2",1.05181948936457,0.904808771892688,1.22271608385596,0.512628611097916,2078
"URXMIB_z","ir_binary","Crude",1.27187218690277,1.1531636512569,1.40280077164559,5.7847211982113e-06,2239
"URXMIB_z","ir_binary","M1",1.28359070673034,1.15587528839627,1.42541770634312,1.09141474641512e-05,2239
"URXMIB_z","ir_binary","M2",1.21962372530525,1.06879028555552,1.39174359219995,0.00420747754588242,2078
"URXMZP_z","ir_binary","Crude",1.21514274688728,1.08695105464795,1.35845297633114,0.000914052183881002,2239
"URXMZP_z","ir_binary","M1",1.25398026168036,1.11316745863512,1.41260551993856,0.000347392960287548,2239
"URXMZP_z","ir_binary","M2",1.08936136156291,0.937746417365354,1.26548942666219,0.26636689717119,2078
"URXMHP_z","ir_binary","Crude",1.05669457134672,0.964330091035952,1.15790581201722,0.240343500455732,2239
"URXMHP_z","ir_binary","M1",1.04937865117985,0.951714147444105,1.1570654450282,0.336206835917262,2239
"URXMHP_z","ir_binary","M2",1.02734169241483,0.921575039882316,1.14524689504236,0.627868240135867,2078
"URXMHH_z","ir_binary","Crude",1.19063078764344,1.07742072829581,1.31573640199654,0.000923019011796324,2239
"URXMHH_z","ir_binary","M1",1.18966387519168,1.07277952829729,1.31928331833702,0.00144111496557298,2239
"URXMHH_z","ir_binary","M2",1.10518578849825,0.976915978101369,1.2502975224874,0.116064862200946,2078
"URXMOH_z","ir_binary","Crude",1.17754876055674,1.0651141394701,1.30185210401822,0.00192747268290541,2239
"URXMOH_z","ir_binary","M1",1.17843365217575,1.06330669636008,1.30602570014288,0.00237749436403345,2239
"URXMOH_z","ir_binary","M2",1.08923548799132,0.966082650647952,1.22808741830106,0.166529599797248,2078
"URXECP_z","ir_binary","Crude",1.15720181142818,1.04679149359749,1.27925765595451,0.00532452760074105,2239
"URXECP_z","ir_binary","M1",1.1542701295901,1.04243747094646,1.2781001922871,0.00705999547696932,2239
"URXECP_z","ir_binary","M2",1.07105432349768,0.945617697436514,1.21313017617259,0.283371457622749,2078
"sum_dehp_mol_z","ir_binary","Crude",1.17177035184703,1.06093048546511,1.29419012487494,0.00236016599702645,2239
"sum_dehp_mol_z","ir_binary","M1",1.17018862934025,1.0568843118881,1.29563984708121,0.00327047783685167,2239
"sum_dehp_mol_z","ir_binary","M2",1.08064071588713,0.95604592519589,1.22147307577695,0.218340415560604,2078
"sum_hmw_z","ir_binary","Crude",1.16734678052529,1.05669302880397,1.28958786407928,0.00302393532884565,2239
"sum_hmw_z","ir_binary","M1",1.16713439075661,1.05373642718353,1.29273568887407,0.00392000561762588,2239
"sum_hmw_z","ir_binary","M2",1.07551580091123,0.951511216662608,1.21568113728279,0.247618860552112,2078
"sum_lmw_z","ir_binary","Crude",1.10235751482539,0.991182175162903,1.22600276815136,0.0756289256801795,2239
"sum_lmw_z","ir_binary","M1",1.07774454516818,0.96166500204158,1.20783568308494,0.201264137399058,2239
"sum_lmw_z","ir_binary","M2",0.977790498169787,0.842926760370826,1.13423170702342,0.767543610144296,2078
