"exposure","outcome","model","term","OR","lo","hi","p","p_trend"
"URXMEP_z","ir_binary_asian","Crude","q_Q2_vs_Q1",1.03138644606169,0.712839882396099,1.49228182568028,0.870116593210558,0.99976943724849
"URXMEP_z","ir_binary_asian","Crude","q_Q3_vs_Q1",0.977872405814031,0.692952134103588,1.37994299316145,0.898954795781343,0.99976943724849
"URXMEP_z","ir_binary_asian","Crude","q_Q4_vs_Q1",1.00907408047225,0.720346715730522,1.41352834356758,0.958222832099715,0.99976943724849
"URXMEP_z","ir_binary_asian","M1","q_Q2_vs_Q1",0.992033009154336,0.68964401640926,1.42701084593734,0.96570650185349,0.615377551944331
"URXMEP_z","ir_binary_asian","M1","q_Q3_vs_Q1",0.94023798242575,0.659792253759775,1.33988760637666,0.733956241037438,0.615377551944331
"URXMEP_z","ir_binary_asian","M1","q_Q4_vs_Q1",0.91646206073887,0.642718541145198,1.30679707368827,0.631125300971275,0.615377551944331
"URXMEP_z","ir_binary_asian","M2","q_Q2_vs_Q1",0.814592456090663,0.520816202071384,1.2740787765064,0.371671269226688,0.324946440286478
"URXMEP_z","ir_binary_asian","M2","q_Q3_vs_Q1",0.764579230835345,0.513922065712713,1.13749036911669,0.189288875834708,0.324946440286478
"URXMEP_z","ir_binary_asian","M2","q_Q4_vs_Q1",0.767740393229703,0.519068961405103,1.13554335786317,0.189587537644531,0.324946440286478
"URXMBP_z","ir_binary_asian","Crude","q_Q2_vs_Q1",1.60536574203034,1.09559551774009,2.35232722656684,0.0171333378962744,0.061216272483324
"URXMBP_z","ir_binary_asian","Crude","q_Q3_vs_Q1",1.56374132994868,1.15153941120084,2.12349392752411,0.00519572300688882,0.061216272483324
"URXMBP_z","ir_binary_asian","Crude","q_Q4_vs_Q1",1.53481772530272,1.12713850203645,2.08995207389983,0.00782380934568621,0.061216272483324
"URXMBP_z","ir_binary_asian","M1","q_Q2_vs_Q1",1.5979769668172,1.09427863117856,2.33352851250335,0.0173647215603584,0.0522173554927236
"URXMBP_z","ir_binary_asian","M1","q_Q3_vs_Q1",1.54615874282847,1.14429947891886,2.08914440849311,0.00567970850195762,0.0522173554927236
"URXMBP_z","ir_binary_asian","M1","q_Q4_vs_Q1",1.56809422813657,1.14575400210008,2.14611470159231,0.006149732901322,0.0522173554927236
"URXMBP_z","ir_binary_asian","M2","q_Q2_vs_Q1",1.47590509117137,0.958331692835393,2.27300824383749,0.0812206294259492,0.109224057713452
"URXMBP_z","ir_binary_asian","M2","q_Q3_vs_Q1",1.46387908442661,1.05255587605408,2.0359412954449,0.0263665683385519,0.109224057713452
"URXMBP_z","ir_binary_asian","M2","q_Q4_vs_Q1",1.51304580217763,1.02065154218582,2.24298646978438,0.0426041562044847,0.109224057713452
"URXMIB_z","ir_binary_asian","Crude","q_Q2_vs_Q1",1.38003674000953,1.02011555632441,1.86694673164114,0.0394837059367482,5.86504246821925e-05
"URXMIB_z","ir_binary_asian","Crude","q_Q3_vs_Q1",1.69616581530923,1.20857285502524,2.38047583235149,0.00294800762020194,5.86504246821925e-05
"URXMIB_z","ir_binary_asian","Crude","q_Q4_vs_Q1",1.9624006881821,1.45817689524042,2.64098030461705,2.43382923689226e-05,5.86504246821925e-05
"URXMIB_z","ir_binary_asian","M1","q_Q2_vs_Q1",1.34288485152782,0.986354137799937,1.82828829459291,0.0645444177222263,8.75182255325154e-05
"URXMIB_z","ir_binary_asian","M1","q_Q3_vs_Q1",1.64673264198136,1.18121838151793,2.29570453406099,0.00419557520138663,8.75182255325154e-05
"URXMIB_z","ir_binary_asian","M1","q_Q4_vs_Q1",1.9710650440437,1.45495559984982,2.67025152399977,3.35656775664773e-05,8.75182255325154e-05
"URXMIB_z","ir_binary_asian","M2","q_Q2_vs_Q1",1.24898187508744,0.857813655168016,1.81852517140381,0.249680776201052,0.00683079394846039
"URXMIB_z","ir_binary_asian","M2","q_Q3_vs_Q1",1.52087867785646,0.990569134522638,2.33509390929398,0.0589885126423067,0.00683079394846039
"URXMIB_z","ir_binary_asian","M2","q_Q4_vs_Q1",1.78038404287132,1.21370535484693,2.61164485058287,0.00419831678445387,0.00683079394846039
"URXMZP_z","ir_binary_asian","Crude","q_Q2_vs_Q1",1.89107353308828,1.28457539871212,2.78392308550542,0.00172718380031939,0.000108167907859609
"URXMZP_z","ir_binary_asian","Crude","q_Q3_vs_Q1",1.49797227679103,1.05558746936862,2.12575556943346,0.0260184058238235,0.000108167907859609
"URXMZP_z","ir_binary_asian","Crude","q_Q4_vs_Q1",2.18038940471982,1.55542813067798,3.05645620163899,1.83078898932302e-05,0.000108167907859609
"URXMZP_z","ir_binary_asian","M1","q_Q2_vs_Q1",1.92897962496142,1.31119835241841,2.83783333517256,0.00126345602875417,8.14873319564988e-05
"URXMZP_z","ir_binary_asian","M1","q_Q3_vs_Q1",1.49297361120228,1.06500498853973,2.09291996538212,0.0224315232708373,8.14873319564988e-05
"URXMZP_z","ir_binary_asian","M1","q_Q4_vs_Q1",2.26939634021798,1.62135390914401,3.17645624434567,7.36147778536376e-06,8.14873319564988e-05
"URXMZP_z","ir_binary_asian","M2","q_Q2_vs_Q1",1.46086731814476,0.93939706029831,2.27181179441392,0.0965248385278805,0.255049149848976
"URXMZP_z","ir_binary_asian","M2","q_Q3_vs_Q1",1.28890445304824,0.844255081705658,1.96774023051338,0.243334568381676,0.255049149848976
"URXMZP_z","ir_binary_asian","M2","q_Q4_vs_Q1",1.41745185811758,0.963756521335272,2.08472754850707,0.080276975011249,0.255049149848976
"URXMHP_z","ir_binary_asian","Crude","q_Q2_vs_Q1",0.867631081007575,0.640154415737317,1.17594079525849,0.362463082408827,0.426224349657923
"URXMHP_z","ir_binary_asian","Crude","q_Q3_vs_Q1",1.2587352549205,0.861320874504387,1.83951705906522,0.237626764395131,0.426224349657923
"URXMHP_z","ir_binary_asian","Crude","q_Q4_vs_Q1",1.07360017081137,0.776558244571147,1.48426384604638,0.668397852864992,0.426224349657923
"URXMHP_z","ir_binary_asian","M1","q_Q2_vs_Q1",0.84348334585744,0.616625485145368,1.15380270825351,0.289920280925427,0.58919529659205
"URXMHP_z","ir_binary_asian","M1","q_Q3_vs_Q1",1.18733195126024,0.79519438771113,1.77284596605526,0.403526327713729,0.58919529659205
"URXMHP_z","ir_binary_asian","M1","q_Q4_vs_Q1",1.02557140723945,0.730949736095896,1.43894533291016,0.884161519782522,0.58919529659205
"URXMHP_z","ir_binary_asian","M2","q_Q2_vs_Q1",0.827748693442242,0.543786258527824,1.25999487620425,0.380580358432876,0.479486638646697
"URXMHP_z","ir_binary_asian","M2","q_Q3_vs_Q1",1.25884302441766,0.776854910495704,2.03987351912832,0.352861139817055,0.479486638646697
"URXMHP_z","ir_binary_asian","M2","q_Q4_vs_Q1",1.05801452158026,0.731070506783053,1.53117205179075,0.765724647095562,0.479486638646697
"URXMHH_z","ir_binary_asian","Crude","q_Q2_vs_Q1",1.48859309324344,1.02873618980132,2.15401131915078,0.0375780111960764,0.014308675412503
"URXMHH_z","ir_binary_asian","Crude","q_Q3_vs_Q1",1.84075380068407,1.30773016035843,2.59103495311611,0.000727024652297396,0.014308675412503
"URXMHH_z","ir_binary_asian","Crude","q_Q4_vs_Q1",1.76660834506944,1.24698335056065,2.5027640052017,0.00188078575585025,0.014308675412503
"URXMHH_z","ir_binary_asian","M1","q_Q2_vs_Q1",1.44317185021013,0.9896591328921,2.10450742080506,0.0600309357028516,0.021912695231938
"URXMHH_z","ir_binary_asian","M1","q_Q3_vs_Q1",1.77484556613043,1.24741294372771,2.52528787636217,0.00200107187849908,0.021912695231938
"URXMHH_z","ir_binary_asian","M1","q_Q4_vs_Q1",1.71245718591259,1.20124126943256,2.44123282158704,0.00382989649492922,0.021912695231938
"URXMHH_z","ir_binary_asian","M2","q_Q2_vs_Q1",1.48173975386438,0.952761677810523,2.30440911858202,0.0849347144379591,0.122296922057353
"URXMHH_z","ir_binary_asian","M2","q_Q3_vs_Q1",1.7219250963406,1.10114595489635,2.69267305049192,0.0196680103566003,0.122296922057353
