"exposure","outcome","model","P_raw","family","rank","n_tests_in_family","P_BH","BH_q05_sig"
"URXMEP_z","ir_binary","Crude",0.2672,"Single-metab × IR_binary × 3 models",26,33,0.3392,FALSE
"URXMEP_z","ir_binary","M1",0.63,"Single-metab × IR_binary × 3 models",32,33,0.6497,FALSE
"URXMEP_z","ir_binary","M2",0.4848,"Single-metab × IR_binary × 3 models",29,33,0.5516,FALSE
"URXMBP_z","ir_binary","Crude",0.117,"Single-metab × IR_binary × 3 models",19,33,0.2032,FALSE
"URXMBP_z","ir_binary","M1",0.07847,"Single-metab × IR_binary × 3 models",17,33,0.1523,FALSE
"URXMBP_z","ir_binary","M2",0.5126,"Single-metab × IR_binary × 3 models",30,33,0.5639,FALSE
"URXMIB_z","ir_binary","Crude",5.785e-06,"Single-metab × IR_binary × 3 models",1,33,0.0001801,TRUE
"URXMIB_z","ir_binary","M1",1.091e-05,"Single-metab × IR_binary × 3 models",2,33,0.0001801,TRUE
"URXMIB_z","ir_binary","M2",0.004207,"Single-metab × IR_binary × 3 models",13,33,0.01068,TRUE
"URXMZP_z","ir_binary","Crude",0.0009141,"Single-metab × IR_binary × 3 models",4,33,0.006092,TRUE
"URXMZP_z","ir_binary","M1",0.0003474,"Single-metab × IR_binary × 3 models",3,33,0.003821,TRUE
"URXMZP_z","ir_binary","M2",0.2664,"Single-metab × IR_binary × 3 models",25,33,0.3392,FALSE
"URXMHP_z","ir_binary","Crude",0.2403,"Single-metab × IR_binary × 3 models",23,33,0.3392,FALSE
"URXMHP_z","ir_binary","M1",0.3362,"Single-metab × IR_binary × 3 models",28,33,0.3962,FALSE
"URXMHP_z","ir_binary","M2",0.6279,"Single-metab × IR_binary × 3 models",31,33,0.6497,FALSE
"URXMHH_z","ir_binary","Crude",0.000923,"Single-metab × IR_binary × 3 models",5,33,0.006092,TRUE
"URXMHH_z","ir_binary","M1",0.001441,"Single-metab × IR_binary × 3 models",6,33,0.007926,TRUE
"URXMHH_z","ir_binary","M2",0.1161,"Single-metab × IR_binary × 3 models",18,33,0.2032,FALSE
"URXMOH_z","ir_binary","Crude",0.001927,"Single-metab × IR_binary × 3 models",7,33,0.008717,TRUE
"URXMOH_z","ir_binary","M1",0.002377,"Single-metab × IR_binary × 3 models",9,33,0.008717,TRUE
"URXMOH_z","ir_binary","M2",0.1665,"Single-metab × IR_binary × 3 models",20,33,0.2748,FALSE
"URXECP_z","ir_binary","Crude",0.005325,"Single-metab × IR_binary × 3 models",14,33,0.01255,TRUE
"URXECP_z","ir_binary","M1",0.00706,"Single-metab × IR_binary × 3 models",15,33,0.01553,TRUE
"URXECP_z","ir_binary","M2",0.2834,"Single-metab × IR_binary × 3 models",27,33,0.3463,FALSE
"sum_dehp_mol_z","ir_binary","Crude",0.00236,"Single-metab × IR_binary × 3 models",8,33,0.008717,TRUE
"sum_dehp_mol_z","ir_binary","M1",0.00327,"Single-metab × IR_binary × 3 models",11,33,0.009811,TRUE
"sum_dehp_mol_z","ir_binary","M2",0.2183,"Single-metab × IR_binary × 3 models",22,33,0.3275,FALSE
"sum_hmw_z","ir_binary","Crude",0.003024,"Single-metab × IR_binary × 3 models",10,33,0.009811,TRUE
"sum_hmw_z","ir_binary","M1",0.00392,"Single-metab × IR_binary × 3 models",12,33,0.01068,TRUE
"sum_hmw_z","ir_binary","M2",0.2476,"Single-metab × IR_binary × 3 models",24,33,0.3392,FALSE
"sum_lmw_z","ir_binary","Crude",0.07563,"Single-metab × IR_binary × 3 models",16,33,0.1523,FALSE
"sum_lmw_z","ir_binary","M1",0.2013,"Single-metab × IR_binary × 3 models",21,33,0.3163,FALSE
"sum_lmw_z","ir_binary","M2",0.7675,"Single-metab × IR_binary × 3 models",33,33,0.7675,FALSE
"URXMEP_z","homa_ir_log","Crude",0.2391,"Single-metab × log-HOMA × 3 models",28,33,0.273,FALSE
"URXMEP_z","homa_ir_log","M1",0.5874,"Single-metab × log-HOMA × 3 models",31,33,0.6253,FALSE
"URXMEP_z","homa_ir_log","M2",0.652,"Single-metab × log-HOMA × 3 models",32,33,0.6723,FALSE
"URXMBP_z","homa_ir_log","Crude",0.05909,"Single-metab × log-HOMA × 3 models",23,33,0.08478,FALSE
"URXMBP_z","homa_ir_log","M1",0.05118,"Single-metab × log-HOMA × 3 models",22,33,0.07677,FALSE
"URXMBP_z","homa_ir_log","M2",0.2482,"Single-metab × log-HOMA × 3 models",30,33,0.273,FALSE
"URXMIB_z","homa_ir_log","Crude",7.861e-08,"Single-metab × log-HOMA × 3 models",1,33,2.594e-06,TRUE
"URXMIB_z","homa_ir_log","M1",7.403e-07,"Single-metab × log-HOMA × 3 models",2,33,1.221e-05,TRUE
"URXMIB_z","homa_ir_log","M2",2.683e-05,"Single-metab × log-HOMA × 3 models",6,33,0.0001437,TRUE
"URXMZP_z","homa_ir_log","Crude",6.968e-06,"Single-metab × log-HOMA × 3 models",4,33,5.749e-05,TRUE
"URXMZP_z","homa_ir_log","M1",4.41e-06,"Single-metab × log-HOMA × 3 models",3,33,4.851e-05,TRUE
"URXMZP_z","homa_ir_log","M2",0.08815,"Single-metab × log-HOMA × 3 models",25,33,0.1164,FALSE
"URXMHP_z","homa_ir_log","Crude",0.09478,"Single-metab × log-HOMA × 3 models",26,33,0.1203,FALSE
"URXMHP_z","homa_ir_log","M1",0.2401,"Single-metab × log-HOMA × 3 models",29,33,0.273,FALSE
"URXMHP_z","homa_ir_log","M2",0.07832,"Single-metab × log-HOMA × 3 models",24,33,0.1077,FALSE
