"exposure","cutoff","outcome","model_spec","subset","estimate","conf.low","conf.high","p.value","n","direction","sig","effect_sign","spec_id","estimate_pretty","p_pretty"
"sum_hmw","Q3vsQ1","ir_binary","M2","Fasting>=10h",0.993855588037958,0.66249433977077,1.4909545192734,0.97592562485698,2005,"negative",FALSE,-1,1,"0.994 (0.662-1.491)","0.976"
"sum_hmw","Q3vsQ1","ir_binary","M2","Crude",0.966338869462588,0.661094535369958,1.41252235599204,0.857861121753949,2239,"negative",FALSE,-1,2,"0.966 (0.661-1.413)","0.858"
"sum_lmw","Q2vsQ1","ir_binary","M2","Crude",0.963931886880938,0.633610458200044,1.46646045771626,0.861990929988112,2239,"negative",FALSE,-1,3,"0.964 (0.634-1.466)","0.862"
"sum_lmw","Q2vsQ1","ir_binary","M2","Age<60",0.928488892846171,0.562096396455568,1.53370779384965,0.769146870787361,1620,"negative",FALSE,-1,4,"0.928 (0.562-1.534)","0.769"
"sum_lmw","Q2vsQ1","ir_binary","M2","Fasting>=10h",0.921200103442592,0.585789947372546,1.44865857529465,0.718941382869055,2005,"negative",FALSE,-1,5,"0.921 (0.586-1.449)","0.719"
"sum_lmw","Q3vsQ1","ir_binary","M2","Fasting>=10h",0.914700764099559,0.59401654495796,1.40850872748592,0.681876012087788,2005,"negative",FALSE,-1,6,"0.915 (0.594-1.409)","0.682"
"sum_lmw","Q2vsQ1","ir_binary","M2","Male",0.902376729676768,0.52756186821262,1.54348487130226,0.704008151611107,1130,"negative",FALSE,-1,7,"0.902 (0.528-1.543)","0.704"
"sum_lmw","Q3vsQ1","ir_binary","M2","Crude",0.89558981427481,0.603099319532094,1.32993205174742,0.580093652467898,2239,"negative",FALSE,-1,8,"0.896 (0.603-1.330)","0.58"
"sum_dehp_mol","Q2vsQ1","ir_binary","M2","Fasting>=10h",0.874043041939011,0.586952684478403,1.30155506459756,0.502616898401347,2005,"negative",FALSE,-1,9,"0.874 (0.587-1.302)","0.503"
"sum_dehp_mol","Q2vsQ1","ir_binary","M2","Age<60",0.849252785961775,0.52928426318784,1.36265206548919,0.493245707202006,1620,"negative",FALSE,-1,10,"0.849 (0.529-1.363)","0.493"
"sum_lmw","Q3vsQ1","ir_binary","M2","Age<60",0.848911221587107,0.508030856655341,1.41851671546286,0.526928447938364,1620,"negative",FALSE,-1,11,"0.849 (0.508-1.419)","0.527"
"sum_hmw","Q2vsQ1","ir_binary","M2","Fasting>=10h",0.833420757851852,0.54401110112333,1.27679409148838,0.397431399488758,2005,"negative",FALSE,-1,12,"0.833 (0.544-1.277)","0.397"
"sum_dehp_mol","Q2vsQ1","ir_binary","M2","Crude",0.830676546185622,0.578817453676611,1.19212632583881,0.309531183960608,2239,"negative",FALSE,-1,13,"0.831 (0.579-1.192)","0.31"
"sum_hmw","Q2vsQ1","ir_binary","M2","Age<60",0.824537149021344,0.496361133110239,1.36969126864583,0.451176505972039,1620,"negative",FALSE,-1,14,"0.825 (0.496-1.370)","0.451"
"sum_hmw","Q2vsQ1","ir_binary","M2","Crude",0.813024561377714,0.558309198134571,1.1839477830779,0.2760380637229,2239,"negative",FALSE,-1,15,"0.813 (0.558-1.184)","0.276"
"sum_lmw","Q3vsQ1","ir_binary","M2","Male",0.794319122924955,0.483094921719156,1.30604326536694,0.359104962007017,1130,"negative",FALSE,-1,16,"0.794 (0.483-1.306)","0.359"
"sum_lmw","Q3vsQ1","homa_ir_log","M2","Male",0.00436012735785013,-0.122287694180772,0.131007948896472,0.945485051052267,1130,"positive",FALSE,1,17,"0.004 (-0.122-0.131)","0.945"
"sum_lmw","Q3vsQ1","homa_ir_log","M2","Fasting>=10h",-0.00716292729991606,-0.103926469766051,0.0896006151662191,0.883139978096522,2005,"negative",FALSE,-1,18,"-0.007 (-0.104-0.090)","0.883"
"sum_lmw","Q4vsQ1","homa_ir_log","M2","Crude",-0.00740599965738438,-0.102967006764003,0.0881550074492346,0.877696952219501,2239,"negative",FALSE,-1,19,"-0.007 (-0.103-0.088)","0.878"
"sum_dehp_mol","Q2vsQ1","homa_ir_log","M2","Age<60",-0.00933202506931453,-0.11619185376942,0.0975278036307914,0.86233432422085,1620,"negative",FALSE,-1,20,"-0.009 (-0.116-0.098)","0.862"
