"variable","ref_value","points"
"Age (years)","20",0
"Age (years)","25",0.0413625388465067
"Age (years)","30",0.0827250776930134
"Age (years)","35",0.12408761653952
"Age (years)","40",0.165450155386027
"Age (years)","45",0.206812694232534
"Age (years)","50",0.24817523307904
"Age (years)","55",0.289537771925547
"Age (years)","60",0.330900310772054
"Age (years)","65",0.37226284961856
"Age (years)","70",0.413625388465067
"Age (years)","75",0.454987927311574
"Age (years)","80",0.49635046615808
"Age (years)","85",0.537713005004587
"Male sex","0",0
"Male sex","1",0.769039222534877
"Race/Ethnicity","N-HW",0
"Race/Ethnicity","N-HB",1.71733613900544
"Race/Ethnicity","MxcA",13.3389365770326
"Race/Ethnicity","OthH",8.22806448145337
"Race/Ethnicity","OthR",17.2437437352703
"Education","LessHS",0.10181409107536
"Education","HighS",3.12508785275777
"Education","ColPlus",0
"PIR","0",3.92282593479726
"PIR","0.5",3.53054334131753
"PIR","1",3.13826074783781
"PIR","1.5",2.74597815435808
"PIR","2",2.35369556087835
"PIR","2.5",1.96141296739863
"PIR","3",1.5691303739189
"PIR","3.5",1.17684778043918
"PIR","4",0.784565186959451
"PIR","4.5",0.392282593479726
"PIR","5",0
"BMI (kg/m2)","15",0
"BMI (kg/m2)","20",6.91406646600081
"BMI (kg/m2)","25",13.8281329320016
"BMI (kg/m2)","30",20.7421993980024
"BMI (kg/m2)","35",27.6562658640033
"BMI (kg/m2)","40",34.5703323300041
"BMI (kg/m2)","45",41.4843987960049
"BMI (kg/m2)","50",48.3984652620057
"Waist (cm)","60",0
"Waist (cm)","70",9.99999999999999
"Waist (cm)","80",20
"Waist (cm)","90",30
"Waist (cm)","100",40
"Waist (cm)","110",50
"Waist (cm)","120",60
"Waist (cm)","130",70
"Waist (cm)","140",80
"Waist (cm)","150",90
"Waist (cm)","160",100
"MEP (z-score)","-3",6.86647529826514
"MEP (z-score)","-2.5",6.33828489070628
"MEP (z-score)","-2",5.81009448314743
"MEP (z-score)","-1.5",5.28190407558857
"MEP (z-score)","-1",4.75371366802971
"MEP (z-score)","-0.5",4.22552326047086
"MEP (z-score)","0",3.697332852912
"MEP (z-score)","0.5",3.16914244535314
"MEP (z-score)","1",2.64095203779428
"MEP (z-score)","1.5",2.11276163023543
"MEP (z-score)","2",1.58457122267657
"MEP (z-score)","2.5",1.05638081511771
"MEP (z-score)","3",0.528190407558857
"MEP (z-score)","3.5",0
"MnBP (z-score)","-3.5",10.1074967024139
"MnBP (z-score)","-3",9.43366358891965
"MnBP (z-score)","-2.5",8.75983047542539
"MnBP (z-score)","-2",8.08599736193113
"MnBP (z-score)","-1.5",7.41216424843687
"MnBP (z-score)","-1",6.73833113494261
"MnBP (z-score)","-0.5",6.06449802144835
"MnBP (z-score)","0",5.39066490795409
"MnBP (z-score)","0.5",4.71683179445982
"MnBP (z-score)","1",4.04299868096556
"MnBP (z-score)","1.5",3.3691655674713
"MnBP (z-score)","2",2.69533245397704
"MnBP (z-score)","2.5",2.02149934048278
"MnBP (z-score)","3",1.34766622698852
"MnBP (z-score)","3.5",0.67383311349426
"MnBP (z-score)","4",0
"MiBP (z-score)","-3.5",0
"MiBP (z-score)","-3",1.62560820996737
"MiBP (z-score)","-2.5",3.25121641993475
"MiBP (z-score)","-2",4.87682462990212
"MiBP (z-score)","-1.5",6.5024328398695
"MiBP (z-score)","-1",8.12804104983687
"MiBP (z-score)","-0.5",9.75364925980425
"MiBP (z-score)","0",11.3792574697716
"MiBP (z-score)","0.5",13.004865679739
"MiBP (z-score)","1",14.6304738897064
"MiBP (z-score)","1.5",16.2560820996737
"MiBP (z-score)","2",17.8816903096411
"MiBP (z-score)","2.5",19.5072985196085
"MiBP (z-score)","3",21.1329067295759
"MiBP (z-score)","3.5",22.7585149395432
"MBzP (z-score)","-3",8.65388913845925
"MBzP (z-score)","-2.5",7.98820535857777
"MBzP (z-score)","-2",7.32252157869629
"MBzP (z-score)","-1.5",6.65683779881481
"MBzP (z-score)","-1",5.99115401893333
"MBzP (z-score)","-0.5",5.32547023905185
"MBzP (z-score)","0",4.65978645917037
"MBzP (z-score)","0.5",3.99410267928888
"MBzP (z-score)","1",3.3284188994074
"MBzP (z-score)","1.5",2.66273511952592
"MBzP (z-score)","2",1.99705133964444
"MBzP (z-score)","2.5",1.33136755976296
"MBzP (z-score)","3",0.665683779881481
"MBzP (z-score)","3.5",0
"MEHP (z-score)","-1.5",23.8784149238019
"MEHP (z-score)","-1",22.1728138578161
"MEHP (z-score)","-0.5",20.4672127918302
"MEHP (z-score)","0",18.7616117258444
"MEHP (z-score)","0.5",17.0560106598585
"MEHP (z-score)","1",15.3504095938727
"MEHP (z-score)","1.5",13.6448085278868
"MEHP (z-score)","2",11.939207461901
"MEHP (z-score)","2.5",10.2336063959151
"MEHP (z-score)","3",8.52800532992926
"MEHP (z-score)","3.5",6.82240426394341
"MEHP (z-score)","4",5.11680319795756
"MEHP (z-score)","4.5",3.4112021319717
"MEHP (z-score)","5",1.70560106598585
"MEHP (z-score)","5.5",0
"MEHHP (z-score)","-4",0
"MEHHP (z-score)","-3",9.20435530311443
"MEHHP (z-score)","-2",18.4087106062289
"MEHHP (z-score)","-1",27.6130659093433
"MEHHP (z-score)","0",36.8174212124577
"MEHHP (z-score)","1",46.0217765155722
"MEHHP (z-score)","2",55.2261318186866
"MEHHP (z-score)","3",64.4304871218011
"MEHHP (z-score)","4",73.6348424249155
"MEHHP (z-score)","5",82.8391977280299
"MEHHP (z-score)","6",92.0435530311444
"MEOHP (z-score)","-3",6.2726446394607
"MEOHP (z-score)","-2",5.57568412396506
"MEOHP (z-score)","-1",4.87872360846943
"MEOHP (z-score)","0",4.1817630929738
"MEOHP (z-score)","1",3.48480257747817
"MEOHP (z-score)","2",2.78784206198253
"MEOHP (z-score)","3",2.0908815464869
"MEOHP (z-score)","4",1.39392103099127
"MEOHP (z-score)","5",0.696960515495633
"MEOHP (z-score)","6",0
"MECPP (z-score)","-4",31.2094434999301
"MECPP (z-score)","-3",28.0884991499371
"MECPP (z-score)","-2",24.9675547999441
"MECPP (z-score)","-1",21.8466104499511
"MECPP (z-score)","0",18.7256660999581
"MECPP (z-score)","1",15.6047217499651
"MECPP (z-score)","2",12.483777399972
"MECPP (z-score)","3",9.36283304997903
"MECPP (z-score)","4",6.24188869998602
"MECPP (z-score)","5",3.12094434999301
"MECPP (z-score)","6",0
