"","level","Q1","Q2","Q3","Q4","p","test"
"n","","8688524.29","7819669.26","7644439.98","8093256.29","",""
"age (median [IQR])","","48.16 [38.00, 59.00]","45.00 [33.00, 58.00]","44.00 [34.00, 56.00]","43.00 [32.00, 54.00]","0.001","nonnorm"
"bmi (median [IQR])","","26.90 [23.30, 30.50]","27.63 [24.48, 32.51]","28.70 [24.40, 32.80]","28.71 [24.78, 33.14]","<0.001","nonnorm"
"waist (median [IQR])","","94.07 [85.00, 104.55]","97.25 [88.50, 108.00]","98.23 [87.17, 109.30]","98.60 [88.98, 110.39]","0.002","nonnorm"
"pir (median [IQR])","","3.13 [1.69, 5.00]","2.44 [1.26, 4.19]","2.79 [1.36, 4.56]","3.43 [1.74, 5.00]","<0.001","nonnorm"
"homa_ir (median [IQR])","","1.93 [1.21, 3.31]","2.13 [1.38, 3.72]","2.31 [1.41, 4.13]","2.44 [1.49, 4.21]","<0.001","nonnorm"
"LBXGLU (median [IQR])","","98.00 [92.00, 105.00]","98.00 [92.00, 104.96]","98.00 [92.00, 106.00]","99.00 [92.07, 106.00]","0.474","nonnorm"
"LBXIN (median [IQR])","","7.87 [5.25, 13.06]","8.79 [5.76, 14.98]","9.15 [6.09, 16.67]","9.85 [6.24, 17.06]","<0.001","nonnorm"
"LBXGH (median [IQR])","","5.40 [5.20, 5.60]","5.40 [5.20, 5.70]","5.40 [5.20, 5.63]","5.30 [5.10, 5.60]","0.061","nonnorm"
"sum_dehp_mol (median [IQR])","","0.03 [0.02, 0.04]","0.08 [0.07, 0.10]","0.16 [0.13, 0.20]","0.45 [0.31, 0.91]","<0.001","nonnorm"
"sum_hmw (median [IQR])","","10.83 [7.45, 14.17]","25.85 [21.52, 30.32]","51.76 [42.70, 63.02]","140.30 [97.82, 272.00]","<0.001","nonnorm"
"sum_lmw (median [IQR])","","33.38 [18.89, 92.14]","82.99 [43.81, 174.81]","126.26 [62.25, 261.01]","184.28 [98.83, 377.76]","<0.001","nonnorm"
"fish_freq_30d (median [IQR])","","3.00 [2.00, 3.00]","3.00 [2.00, 3.00]","3.00 [2.00, 3.00]","3.00 [2.00, 3.00]","0.207","nonnorm"
"kcal_day (median [IQR])","","2016.29 [1555.43, 2586.62]","1998.53 [1483.00, 2778.90]","2115.46 [1549.60, 2763.43]","2262.76 [1711.40, 2843.63]","0.004","nonnorm"
"hscrp_log (median [IQR])","","0.43 [-0.51, 1.17]","0.34 [-0.74, 1.51]","0.56 [-0.50, 1.13]","0.67 [-0.77, 1.39]","0.973","nonnorm"
"age_group (%)","20-39","2356126.7 (27.1)","2905305.8 (37.2)","2953215.6 (38.6)","3493555.0 (43.2)","0.002",""
"","40-59","4218467.9 (48.6)","3077396.3 (39.4)","3136376.2 (41.0)","3199057.0 (39.5)","",""
"",">=60","2113929.7 (24.3)","1836967.1 (23.5)","1554848.2 (20.3)","1400644.2 (17.3)","",""
"sex_male (%)","0","5088074.5 (58.6)","3937931.8 (50.4)","3418424.0 (44.7)","3666620.8 (45.3)","0.001",""
"","1","3600449.8 (41.4)","3881737.5 (49.6)","4226016.0 (55.3)","4426635.5 (54.7)","",""
"race (%)","Non-Hispanic White","6449981.7 (74.2)","5380434.0 (68.8)","4932311.2 (64.5)","5653788.2 (69.9)","0.018",""
"","Non-Hispanic Black","644649.3 (7.4)","813632.0 (10.4)","1018765.1 (13.3)","916465.1 (11.3)","",""
"","Mexican American","686427.5 (7.9)","860923.1 (11.0)","671937.1 (8.8)","725445.6 (9.0)","",""
"","Other Hispanic","398945.7 (4.6)","409091.1 (5.2)","512226.9 (6.7)","498109.1 (6.2)","",""
"","Other Race","508520.0 (5.9)","355589.1 (4.5)","509199.7 (6.7)","299448.3 (3.7)","",""
"education (%)","Less than HS","1328524.6 (15.3)","1698491.4 (21.7)","1306979.6 (17.1)","1479741.5 (18.3)","0.188",""
"","High school","1975688.0 (22.7)","1842984.2 (23.6)","2030602.0 (26.6)","1789081.0 (22.1)","",""
"","College or above","5384311.7 (62.0)","4278193.7 (54.7)","4306858.3 (56.3)","4824433.8 (59.6)","",""
"smoke (%)","Never","4500262.5 (51.8)","4253304.9 (54.4)","4163213.4 (54.5)","4570763.0 (56.5)","0.669",""
"","Ever","4188261.7 (48.2)","3566364.4 (45.6)","3481226.6 (45.5)","3522493.3 (43.5)","",""
"hypertension (%)","0","6177858.5 (71.1)","5607199.5 (71.7)","5347911.6 (70.0)","5729733.0 (70.8)","0.960",""
"","1","2510665.7 (28.9)","2212469.8 (28.3)","2296528.4 (30.0)","2363523.3 (29.2)","",""
"cycle_tag (%)","NHANES_2005_2006","617129.1 (7.1)","889131.2 (11.4)","1356957.0 (17.8)","2697464.2 (33.3)","<0.001",""
"","NHANES_2007_2008","628926.6 (7.2)","1084822.7 (13.9)","1300794.2 (17.0)","2468362.0 (30.5)","",""
"","NHANES_2009_2010","841690.1 (9.7)","1165236.2 (14.9)","1530786.5 (20.0)","1403266.0 (17.3)","",""
"","NHANES_2011_2012","1397989.4 (16.1)","1597386.4 (20.4)","1332069.3 (17.4)","697284.5 (8.6)","",""
"","NHANES_2013_2014","2376609.8 (27.4)","1614053.3 (20.6)","1133606.6 (14.8)","407454.0 (5.0)","",""
"","NHANES_2015_2016","2826179.2 (32.5)","1469039.4 (18.8)","990226.5 (13.0)","419425.6 (5.2)","",""
"smoke_objective (%)","Active","1586401.8 (27.3)","1172223.5 (29.5)","1146189.3 (32.9)","901499.8 (25.6)","0.002",""
"","Non","3377853.4 (58.0)","2043256.8 (51.4)","1699564.7 (48.8)","1475834.9 (41.9)","",""
"","Passive","855662.9 (14.7)","756743.7 (19.1)","635036.1 (18.2)","1147009.1 (32.5)","",""
