"","level","Non-IR","IR","p","test"
"n","","18091746.32","14154143.50","",""
"age (median [IQR])","","45.00 [34.00, 56.00]","46.00 [35.00, 58.00]","0.117","nonnorm"
"bmi (median [IQR])","","25.40 [22.80, 28.67]","31.30 [27.61, 35.57]","<0.001","nonnorm"
"waist (median [IQR])","","90.95 [82.70, 99.50]","106.20 [96.50, 117.50]","<0.001","nonnorm"
"pir (median [IQR])","","3.18 [1.61, 5.00]","2.75 [1.36, 4.49]","0.008","nonnorm"
"homa_ir (median [IQR])","","1.44 [1.05, 1.89]","4.09 [3.14, 5.69]","<0.001","nonnorm"
"LBXGLU (median [IQR])","","95.00 [90.00, 100.00]","103.00 [96.00, 111.00]","<0.001","nonnorm"
"LBXIN (median [IQR])","","6.15 [4.52, 7.78]","16.33 [12.68, 21.88]","<0.001","nonnorm"
"LBXGH (median [IQR])","","5.30 [5.10, 5.50]","5.50 [5.30, 5.70]","<0.001","nonnorm"
"sum_dehp_mol (median [IQR])","","0.10 [0.05, 0.22]","0.12 [0.06, 0.26]","0.003","nonnorm"
"sum_hmw (median [IQR])","","32.59 [14.78, 70.10]","38.61 [18.83, 81.72]","0.004","nonnorm"
"sum_lmw (median [IQR])","","96.12 [37.43, 209.01]","101.34 [46.82, 236.81]","0.100","nonnorm"
"fish_freq_30d (median [IQR])","","3.00 [2.00, 3.00]","3.00 [2.00, 3.00]","0.186","nonnorm"
"kcal_day (median [IQR])","","2070.35 [1498.75, 2697.00]","2135.00 [1663.36, 2753.35]","0.105","nonnorm"
"hscrp_log (median [IQR])","","0.18 [-0.69, 0.92]","0.83 [0.10, 1.59]","0.005","nonnorm"
"age_group (%)","20-39","6668170.2 (36.9)","5040033.0 (35.6)","0.564",""
"","40-59","7733265.1 (42.7)","5898032.3 (41.7)","",""
"",">=60","3690311.1 (20.4)","3216078.2 (22.7)","",""
"sex_male (%)","0","9863419.9 (54.5)","6247631.2 (44.1)","<0.001",""
"","1","8228326.5 (45.5)","7906512.3 (55.9)","",""
"race (%)","Non-Hispanic White","13307052.3 (73.6)","9109462.7 (64.4)","<0.001",""
"","Non-Hispanic Black","1767202.3 (9.8)","1626309.2 (11.5)","",""
"","Mexican American","1200323.6 (6.6)","1744409.7 (12.3)","",""
"","Other Hispanic","937664.8 (5.2)","880708.0 (6.2)","",""
"","Other Race","879503.3 (4.9)","793253.8 (5.6)","",""
"education (%)","Less than HS","2971429.6 (16.4)","2842307.5 (20.1)","0.008",""
"","High school","3928203.9 (21.7)","3710151.2 (26.2)","",""
"","College or above","11192112.8 (61.9)","7601684.8 (53.7)","",""
"smoke (%)","Never","9740758.9 (53.8)","7746784.8 (54.7)","0.742",""
"","Ever","8350987.4 (46.2)","6407358.7 (45.3)","",""
"hypertension (%)","0","14231655.9 (78.7)","8631046.8 (61.0)","<0.001",""
"","1","3860090.5 (21.3)","5523096.7 (39.0)","",""
"cycle_tag (%)","NHANES_2005_2006","3798452.1 (21.0)","1762229.4 (12.5)","<0.001",""
"","NHANES_2007_2008","2914454.2 (16.1)","2568451.3 (18.1)","",""
"","NHANES_2009_2010","2358927.0 (13.0)","2582051.8 (18.2)","",""
"","NHANES_2011_2012","2566191.1 (14.2)","2458538.5 (17.4)","",""
"","NHANES_2013_2014","3169967.5 (17.5)","2361756.2 (16.7)","",""
"","NHANES_2015_2016","3283754.5 (18.2)","2421116.3 (17.1)","",""
"smoke_objective (%)","Active","3165141.6 (30.9)","1641172.7 (25.1)","0.098",""
"","Non","5223414.7 (50.9)","3373095.1 (51.5)","",""
"","Passive","1863617.8 (18.2)","1530834.0 (23.4)","",""
