"outcome","direction","metabolite","weight"
"homa_ir_log","positive","URXMHH_z",0.52717649841966
"homa_ir_log","positive","URXMIB_z",0.338650863932273
"homa_ir_log","positive","URXMOH_z",0.0555916698842118
"homa_ir_log","positive","URXECP_z",0.0367820066746661
"homa_ir_log","positive","URXMZP_z",0.0227110202148822
"homa_ir_log","positive","URXMBP_z",0.00702335717840928
"homa_ir_log","positive","URXMHP_z",0.00604437055089093
"homa_ir_log","positive","URXMEP_z",0.0060202131450067
"homa_ir_log","negative","URXMEP_z",0.75723322416809
"homa_ir_log","negative","URXMZP_z",0.0880331360449599
"homa_ir_log","negative","URXMBP_z",0.0770140581004922
"homa_ir_log","negative","URXMHP_z",0.065574708747152
"homa_ir_log","negative","URXMIB_z",0.0112557469817429
"homa_ir_log","negative","URXECP_z",0.000879568781625698
"homa_ir_log","negative","URXMOH_z",5.86883567179601e-06
"homa_ir_log","negative","URXMHH_z",3.68834026562063e-06
"ir_binary","positive","URXMIB_z",0.543167180064681
"ir_binary","positive","URXMHH_z",0.306752191644882
"ir_binary","positive","URXMBP_z",0.0562115894614809
"ir_binary","positive","URXMOH_z",0.0475449817040095
"ir_binary","positive","URXMZP_z",0.0244951553449736
"ir_binary","positive","URXECP_z",0.0141001549620697
"ir_binary","positive","URXMEP_z",0.00762295873157295
"ir_binary","positive","URXMHP_z",0.000105788086329899
"ir_binary","negative","URXMEP_z",0.826612114155474
"ir_binary","negative","URXMHP_z",0.148262876258372
"ir_binary","negative","URXMZP_z",0.019945939126718
"ir_binary","negative","URXECP_z",0.00516745281393755
"ir_binary","negative","URXMOH_z",3.16022894337244e-06
"ir_binary","negative","URXMBP_z",3.14950512751931e-06
"ir_binary","negative","URXMHH_z",2.93989796679079e-06
"ir_binary","negative","URXMIB_z",2.36801346070363e-06
